Name,Phone,URL,Category
Grant Parish,Unknown,https://doc.la.gov/location/grant-parish/,Franklin Parish
Iberia Parish,Unknown,https://doc.la.gov/location/iberia-parish/,Grant Parish
Iberville Parish,Unknown,https://doc.la.gov/location/iberville-parish/,Iberia Parish
Jackson Parish,Unknown,https://doc.la.gov/location/jackson-parish/,Iberville Parish
Jefferson Davis Parish,Unknown,https://doc.la.gov/location/jefferson-davis-parish/,Jackson Parish
Jefferson Parish,Unknown,https://doc.la.gov/location/jefferson-parish/,Jefferson Davis Parish
La Salle Parish,Unknown,https://doc.la.gov/location/la-salle-parish/,Jefferson Parish
Lafayette Parish,Unknown,https://doc.la.gov/location/lafayette-parish/,La Salle Parish
Lafourche Parish,Unknown,https://doc.la.gov/location/lafourche-parish/,Lafayette Parish
Lincoln Parish,Unknown,https://doc.la.gov/location/lincoln-parish/,Lafourche Parish
Livingston Parish,Unknown,https://doc.la.gov/location/livingston-parish/,Lincoln Parish
Madison Parish,Unknown,https://doc.la.gov/location/madison-parish/,Livingston Parish
Morehouse Parish,Unknown,https://doc.la.gov/location/morehouse-parish/,Madison Parish
Natchitoches Parish,Unknown,https://doc.la.gov/location/natchitoches-parish/,Morehouse Parish
Orleans Parish,Unknown,https://doc.la.gov/location/orleans-parish/,Natchitoches Parish
Ouachita Parish,Unknown,https://doc.la.gov/location/ouachita-parish/,Orleans Parish
Plaquemines Parish,Unknown,https://doc.la.gov/location/plaquemines-parish/,Ouachita Parish
Pointe Coupee Parish,Unknown,https://doc.la.gov/location/pointe-coupee-parish/,Plaquemines Parish
Rapides Parish,Unknown,https://doc.la.gov/location/rapides-parish/,Pointe Coupee Parish
Red River Parish,Unknown,https://doc.la.gov/location/red-river-parish/,Rapides Parish
Richland Parish,Unknown,https://doc.la.gov/location/richland-parish/,Red River Parish
Sabine Parish,Unknown,https://doc.la.gov/location/sabine-parish/,Richland Parish
St. Bernard Parish,Unknown,https://doc.la.gov/location/st-bernard-parish/,Sabine Parish
St. Charles Parish,Unknown,https://doc.la.gov/location/st-charles-parish/,St. Bernard Parish
St. Helena Parish,Unknown,https://doc.la.gov/location/st-helena-parish/,St. Charles Parish
St. James Parish,Unknown,https://doc.la.gov/location/st-james-parish/,St. Helena Parish
St. John the Baptist Parish,Unknown,https://doc.la.gov/location/st-john-the-baptist-parish/,St. James Parish
St. Landry Parish,Unknown,https://doc.la.gov/location/st-landry-parish/,St. John the Baptist Parish
St. Martin Parish,Unknown,https://doc.la.gov/location/st-martin-parish/,St. Landry Parish
St. Mary Parish,Unknown,https://doc.la.gov/location/st-mary-parish/,St. Martin Parish
St. Tammany Parish,Unknown,https://doc.la.gov/location/st-tammany-parish/,St. Mary Parish
Tangipahoa Parish,Unknown,https://doc.la.gov/location/tangipahoa-parish/,St. Tammany Parish
Tensas Parish,Unknown,https://doc.la.gov/location/tensas-parish/,Tangipahoa Parish
Terrebone Parish,Unknown,https://doc.la.gov/location/terrebone-parish/,Tensas Parish
Union Parish,Unknown,https://doc.la.gov/location/union-parish/,Terrebone Parish
Vermilion Parish,Unknown,https://doc.la.gov/location/vermillion-parish/,Union Parish
Vernon Parish,Unknown,https://doc.la.gov/location/vernon-parish/,Vermilion Parish
Washington Parish,Unknown,https://doc.la.gov/location/washington-parish/,Vernon Parish
Webster Parish,Unknown,https://doc.la.gov/location/webster-parish/,Washington Parish
West Baton Rouge Parish,Unknown,https://doc.la.gov/location/west-baton-rouge-parish/,Webster Parish
West Carroll Parish,Unknown,https://doc.la.gov/location/west-carroll-parish/,West Baton Rouge Parish
West Feliciana Parish,Unknown,https://doc.la.gov/location/west-feliciana-parish/,West Carroll Parish
Winn Parish,Unknown,https://doc.la.gov/location/winn-parish/,West Feliciana Parish
Alexandria,(318) 487-5301,https://doc.la.gov/location/alexandria/,Winn Parish
Amite,(985) 748-2013,https://doc.la.gov/location/amite/,"Avoyelles, Catahoula, Concordia, Grant, La Salle, Rapides"
Baton Rouge,(225) 922-0227,https://doc.la.gov/location/baton-rouge/,"Livingston, St. Helena, Tangipahoa"
Covington,(985) 871-8351,https://doc.la.gov/location/covington/,"Most of East Baton Rouge Parish, excluding Baker, Zachary, Greenwell Springs, Pride, Slaughter, Central, and portions of Baton Rouge."
Donaldsonville,(225) 474-2020,https://doc.la.gov/location/donaldsonville/,"St. Tammany, Washington"
East Jefferson,(504) 465-3490,https://doc.la.gov/location/east-jefferson/,"Ascension, Assumption, St. James, St. John the Baptist"
Feliciana,(225) 683-5012,https://doc.la.gov/location/feliciana/,Jefferson Parish
Jefferson,(504) 361-6730,https://doc.la.gov/location/jefferson/,"East Feliciana, West Feliciana, and portions of East Baton Rouge"
Lafayette,(337) 262-5444,https://doc.la.gov/location/lafayette/,"Jefferson, Plaquemines, St. Bernard, Orleans (Algiers only)"
Lake Charles,(337) 491-2388,https://doc.la.gov/location/lake-charles/,"Acadia, Lafayette, Vermilion"
Leesville,(337) 238-6427,https://doc.la.gov/location/leesville/,"Calcasieu, Cameron, Jefferson Davis"
Minden,(318) 371-3020,https://doc.la.gov/location/minden/,"Beauregard, Vernon"
Monroe,(318) 362-3171,https://doc.la.gov/location/monroe/,"Bienville, Claiborne, Jackson, Webster"
Natchitoches,(318) 332-8487,https://doc.la.gov/location/natchitoches/,"Caldwell, Lincoln, Morehouse, Ouachita, Union"
New Iberia,(337) 373-0014,https://doc.la.gov/location/new-iberia/,"Desoto, Natchitoches, Red River, Sabine, Winn"
New Orleans,(504) 962-4400,https://doc.la.gov/location/new-orleans/,"Iberia, St. Martin, St. Mary"
Shreveport,(318) 676-7040,https://doc.la.gov/location/shreveport/,Orleans
Tallulah,(318) 574-4201,https://doc.la.gov/location/tallulah/,"Bossier, Caddo"
Thibodaux,(985) 447-0935,https://doc.la.gov/location/thibodaux/,"East Carroll, Franklin, Madison, Richland, Tensas, West Carroll"
Ville Platte,(337) 363-6679,https://doc.la.gov/location/ville-platte/,"St. Charles, Lafourche, Terrebonne"
West Baton Rouge,(225) 342-2770,https://doc.la.gov/location/west-baton-rouge/,"Allen, Evangeline, St. Landry"
Avoyelles Women’s Correctional Center DC-3,(318) 717-5190,https://doc.la.gov/location/avoyelles-womens-correctional-center-dc-3/,"Iberville, Pointe Coupee, West Baton Rouge, Parts of East Baton Rouge"
Caldwell Correctional Center Transitional Work Program,(318) 649-5600,https://doc.la.gov/location/caldwell-correctional-center-transitional-work-program/,(318) 717-5190
Catahoula Correctional Center (LMG),(318) 744-2121,https://doc.la.gov/location/catahoula-correctional-center-lmg/,(318) 649-5600
Claiborne Detention Center Transitional  Work Program (LMG),(318) 927-4201,https://doc.la.gov/location/claiborne-detention-center-transitional-work-program-lmg/,(318) 744-2121
Concordia Parish Transitional Work Program,(318) 757-1865,https://doc.la.gov/location/concordia-parish-transitional-work-program/,(318) 927-4201
Concordia Parish Transitional Work Program (Females),(318) 336-2881,https://doc.la.gov/location/concordia-parish-transitional-work-program-females/,(318) 757-1865
E. Baton Rouge Parish Transitional Work Program (LAWF),(225) 248-6583,https://doc.la.gov/location/e-baton-rouge-parish-transitional-work-program-lawf/,(318) 336-2881
East Feliciana Parish Transitional Work Program,(225) 683-5459,https://doc.la.gov/location/east-feliciana-parish-transitional-work-program/,(225) 248-6583
Franklin Parish Detention Center,(318) 435-8229,https://doc.la.gov/location/franklin-parish-detention-center/,(225) 683-5459
Lafourche Transitional Work Program*,(985) 537-9650,https://doc.la.gov/location/lafourche-transitional-work-program/,(318) 435-8229
Lincoln Parish Detention Center,(318) 255-4440,https://doc.la.gov/location/lincoln-parish-detention-center/,(985) 537-9650
Madison Bayou Correctional Center Transitional Work Program,(318) 574-0584,https://doc.la.gov/location/madison-bayou-correctional-center-transitional-work-program/,(318) 255-4440
Madison – Louisiana Transitional Center for Women Transitional Work Program,(318) 574-5740,https://doc.la.gov/location/madison-ltcw-transitional-work-program-females/,(318) 574-0584
Madison Parish Detention Center (LMG),(318) 574-0584,https://doc.la.gov/location/madison-parish-detention-center-lmg/,(318) 574-5740
Morehouse Parish Detention Center,(318) 874-7855,https://doc.la.gov/location/morehouse-parish-detention-center/,(318) 574-0584
Orleans Transitional Work Program (Warren McDaniel Transitional Work Program),(504) 249-7264,https://doc.la.gov/location/orleans-transitional-work-program-warren-mcdaniel-transitional-work-program/,(318) 874-7855
Ouachita Parish Transitional Work Program (Females),(318) 324-2792,https://doc.la.gov/location/ouachita-parish-transitional-work-program-females/,(504) 249-7264
Ouachita Parish Transitional Work Program (Males),(318) 410-2400,https://doc.la.gov/location/ouachita-parish-transitional-work-program-males/,(318) 324-2792
Plaquemines Parish Transitional Work Program,(504) 934-6788,https://doc.la.gov/location/plaquemines-parish-transitional-work-program/,(318) 410-2400
Rapides Parish Transitional Work Program*,(318) 449-4380,https://doc.la.gov/location/rapides-parish-transitional-work-program/,(504) 934-6788
Richland Parish Detention Center (Males),(318) 248-3070,https://doc.la.gov/location/richland-parish-detention-center-males/,(318) 449-4380
Southwest Workforce Development Transitional Work Program,(337) 786-3009 & (337) 786-3008,https://doc.la.gov/location/southwest-workforce-development-transitional-work-program/,(318) 248-3070
St. Mary Law Enforcement Center Transitional Work Program,(337) 836-5520,https://doc.la.gov/location/st-mary-law-enforcement-center-transitional-work-program/,(337) 786-3009 & (337) 786-3008
Tangipahoa Parish Jail,(985) 748-3392,https://doc.la.gov/location/tangipahoa-parish-jail/,(337) 836-5520
Tensas Parish Detention Center Transitional Work Program,(318) 749-5810,https://doc.la.gov/location/tensas-parish-detention-center-transitional-work-program/,(985) 748-3392
Terrebonne Transitional Work Program (LAWF),(985) 917-5254,https://doc.la.gov/location/terrebonne-transitional-work-program-lawf/,(318) 749-5810
Union Parish Detention Center Transitional Work Program,(318) 368-9827,https://doc.la.gov/location/union-parish-detention-center-transitional-work-program/,(985) 917-5254
W. Baton Rouge Parish Transitional Work Program*,(225) 387-3272,https://doc.la.gov/location/w-baton-rouge-parish-transitional-work-program/,(318) 368-9827
Webster – Bayou Dorcheat Correctional Center Transitional Work Program,(318) 371-3554,https://doc.la.gov/location/webster-bayou-dorcheat-correctional-center-transitional-work-program/,(225) 387-3272
West Feliciana Parish Transitional Work Program (LAWF)*,(225) 635-3807,https://doc.la.gov/location/west-feliciana-parish-transitional-work-program-lawf/,(318) 371-3554
